hwWlanApMac,hwWlanApSn,hwWlanApTypeInfo,hwWlanApName,hwWlanApGroup,hwWlanApRunState,hwWlanApSoftwareVersion,group_id
,2102354DKSW0PB000776,AirEngine5761R-11,NingXia_ZWGF_323,宁夏-中卫光伏208,11,V200R022C00SPC100,404
,2102354DKSW0P3002086,AirEngine5761R-11,108f-feac-4420,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002087,AirEngine5761R-11,108f-feac-4440,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002093,AirEngine5761R-11,108f-feac-4500,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002104,AirEngine5761R-11,108f-feac-4660,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002120,AirEngine5761R-11,108f-feac-4860,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002123,AirEngine5761R-11,108f-feac-48c0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002128,AirEngine5761R-11,108f-feac-4960,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002134,AirEngine5761R-11,108f-feac-4a20,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002135,AirEngine5761R-11,108f-feac-4a40,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002148,AirEngine5761R-11,108f-feac-4be0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002151,AirEngine5761R-11,108f-feac-4c40,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002185,AirEngine5761R-11,108f-feac-5080,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002189,AirEngine5761R-11,108f-feac-5100,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002196,AirEngine5761R-11,108f-feac-51e0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002201,AirEngine5761R-11,108f-feac-5280,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002202,AirEngine5761R-11,108f-feac-52a0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002207,AirEngine5761R-11,108f-feac-5340,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002214,AirEngine5761R-11,108f-feac-5420,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002218,AirEngine5761R-11,108f-feac-54a0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002219,AirEngine5761R-11,108f-feac-54c0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002220,AirEngine5761R-11,108f-feac-54e0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002222,AirEngine5761R-11,108f-feac-5520,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002224,AirEngine5761R-11,108f-feac-5560,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002228,AirEngine5761R-11,108f-feac-55e0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002230,AirEngine5761R-11,108f-feac-5620,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002232,AirEngine5761R-11,108f-feac-5660,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002233,AirEngine5761R-11,108f-feac-5680,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002235,AirEngine5761R-11,108f-feac-56c0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
,2102354DKSW0P3002258,AirEngine5761R-11,108f-feac-59a0,宁夏-吴忠四十五光伏209,11,V200R022C00SPC100,2886
