"id","power_plant_name","province_id"
"1595","吉林-乾安文字","1508"
"1596","吉林-沙河宏升","1508"
"1597","江西-钩刀咀","1515"
"1598","江西-武华山","1515"
"1599","江西-太阳岭","1515"
"1600","江西-新安光储电站","1515"
"1601","江西-鸭公嶂","1515"
"1602","辽宁-敖力营子","1507"
"1603","辽宁-昌图","1507"
"1604","辽宁-慈恩寺","1507"
"1605","辽宁-法库东","1507"
"1606","辽宁-富饶山","1507"
"1607","辽宁-海洋红","1507"
"1608","辽宁-梨树沟","1507"
"1609","辽宁-龙阜","1507"
"1610","辽宁-龙阜二期","1507"
"1611","辽宁-龙康变电站","1507"
"1612","辽宁-马鞍山","1507"
"1613","辽宁-牛毛大山","1507"
"1614","辽宁-望海寺","1507"
"1615","辽宁-卧牛石","1507"
"1616","辽宁-西关","1507"
"1617","辽宁-叶茂台","1507"
"1618","辽宁-张强","1507"
"1619","山东-北海","1516"
"1620","山东-滨海-滨海龙源","1516"
"1621","山东-陈公","1516"
"1622","山东-冯家","1516"
"1623","山东-村里集光伏电站","1516"
"1624","山东-东盘","1516"
"1625","山东-玉山","1516"
"1626","天津-大苏庄","1503"
"1627","天津-海晶光伏","1503"
"1628","天津-汉沽","1503"
"1629","天津-马棚口","1503"
"1630","甘肃-安四二场","1529"
"1631","甘肃-公婆泉","1529"
"1632","甘肃-南滩","1529"
"1633","甘肃-建展光伏","1529"
"1634","甘肃-平山湖","1529"
"1635","甘肃-桥东三场","1529"
"1636","甘肃-桥东一场","1529"
"1637","甘肃-润丰第三","1529"
"1638","甘肃-三十里井子","1529"
"1639","甘肃-向阳","1529"
"1640","甘肃-星光光伏电站","1529"
"1641","甘肃-玉门","1529"
"1642","甘肃-玉新","1529"
"1643","宁夏-贺兰山第四","1531"
"1644","宁夏-蒋家南第二","1531"
"1645","宁夏-邱渠第四","1531"
"1646","宁夏-邱渠第五","1531"
"1647","宁夏-邱渠第一","1531"
"1648","宁夏-五里坡第三","1531"
"1649","宁夏-五里坡第一","1531"
"1650","宁夏-吴忠四十五光伏","1531"
"1651","宁夏-中卫光伏","1531"
"1652","青海-格尔木光伏电站","1530"
"1653","青海-怀英一期","1530"
"1654","四川-坡里光伏电站","1524"
"1655","山西-和顺二期","1505"
"1656","山西-繁峙界牌岭光伏","1505"
"1657","山西-黑茶山","1505"
"1658","山西-黄花母","1505"
"1659","山西-静乐二期","1505"
"1660","山西-老千山","1505"
"1661","山西-南桦山","1505"
"1662","山西-双井","1505"
"1663","山西-娑婆","1505"
"1664","山西-驼铃","1505"
"1665","山西-银子咀","1505"
"1666","山西-余庄","1505"
"1667","陕西-杜家沟二期","1528"
"1668","陕西-杜家沟","1528"
"1669","陕西-高家沟","1528"
"1670","陕西-工程技术公司","1528"
"1671","陕西-观日台","1528"
"1672","陕西-四合堡","1528"
"1673","陕西-卧龙光伏电站","1528"
"1674","陕西-周湾","1528"
"1675","西藏-阿里光伏电站","1527"
"1676","西藏-吉定光伏电站","1527"
"1677","西藏-那曲","1527"
"1678","西藏-日喀则光伏电站","1527"
"1679","西藏-羊八井二期","1527"
"1680","西藏-羊八井一期","1527"
"1681","新疆-阿拉山口","1532"
"1682","新疆-布尔津天润","1532"
"1683","新疆-达坂城三场六期","1532"
"1684","新疆-高崖子","1532"
"1685","新疆-天风二场","1532"
"1686","新疆-苦水西风电一场","1532"
"1687","新疆-阿克陶","1532"
"1688","新疆-老风口","1532"
"1689","新疆-萨尔塔木","1532"
"1690","新疆-三塘湖","1532"
"1691","新疆-天风三场","1532"
"1692","新疆-望洋台西风电一场","1532"
"1693","新疆-乌兰达布森","1532"
"1694","黑龙江-爱华","1509"
"1695","黑龙江-白山","1509"
"1696","黑龙江-蝙蝠山","1509"
"1697","黑龙江-草原","1509"
"1698","黑龙江-岔林河","1509"
"1699","黑龙江-大蜂山","1509"
"1700","黑龙江-大黑山","1509"
"1701","黑龙江-大箐山","1509"
"1702","黑龙江耳朵眼","1509"
"1703","黑龙江-公心集","1509"
"1704","黑龙江-横岱山","1509"
"1705","黑龙江-华山","1509"
"1706","黑龙江-夹信山","1509"
"1707","黑龙江-岭东","1509"
"1708","黑龙江-马鞍山","1509"
"1709","黑龙江-石帽顶子风","1509"
"1710","黑龙江-曙光","1509"
"1711","黑龙江-铁西","1509"
"1712","黑龙江-望云峰","1509"
"1713","黑龙江-小城山","1509"
"1714","黑龙江-小锅盔","1509"
"1715","黑龙江-驿马山","1509"
"1716","蒙东-敖日木","1506"
"1717","蒙东-北梁","1506"
"1718","蒙东-察尔森","1506"
"1719","蒙东-代钦塔拉","1506"
"1720","蒙东-高尔真","1506"
"1721","蒙东-冠东","1506"
"1722","蒙东-哈日塘","1506"
"1723","蒙东-葫芦头","1506"
"1724","蒙东-九龙","1506"
"1725","蒙东-龙泉","1506"
"1726","蒙东-满斗","1506"
"1727","蒙东-牤牛海","1506"
"1728","蒙东-齐心营","1506"
"1729","蒙东-孙家营","1506"
"1730","蒙东-五道沟","1506"
"1731","蒙东-兴安","1506"
"1732","蒙西-巴音","1506"
"1733","蒙西-川井","1506"
"1734","蒙西-官村","1506"
"1735","蒙西-和林","1506"
"1736","蒙西-龙源诺尔","1506"
"1737","蒙西-赛乌素","1506"
"1738","蒙西-三面井","1506"
"1739","蒙西-四子王","1506"
"1740","蒙西-桃山","1506"
"1741","蒙西-布鲁克","1506"
"1742","蒙西-沃德","1506"
