"id","power_plant_name","province_id"
"1500","安徽-曹店","1513"
"1501","安徽-大山","1513"
"1502","安徽-横龙","1513"
"1503","安徽-来安","1513"
"1504","安徽-屯仓","1513"
"1505","安徽-龙湖","1513"
"1506","安徽-龙兴","1513"
"1507","安徽-龙瓴","1513"
"1508","安徽-鲁山","1513"
"1509","福建-大帽山","1514"
"1510","福建-高山","1514"
"1511","福建-官庄","1514"
"1512","福建-南日风电三场","1514"
"1513","福建-南日风电一场","1514"
"1514","福建-南日海上","1514"
"1515","福建-平潭世行","1514"
"1516","福建-萩芦","1514"
"1517","福建-三墩","1514"
"1518","福建-乌礁湾","1514"
"1519","福建-忠门","1514"
"1520","广东-鹅岭","1520"
"1521","广东-海山","1520"
"1522","广东-山门前","1520"
"1523","广西-四方岭","1521"
"1524","广西-霞义山","1521"
"1525","广西-来福","1521"
"1526","广西-吉坤","1521"
"1527","广西-百龙岭","1521"
"1528","广西-岱安","1521"
"1529","广西-首龙","1521"
"1530","广西-赤华","1521"
"1531","广西-笔架山","1521"
"1532","贵州-大海子","1525"
"1533","贵州-麻窝山","1525"
"1534","贵州-马摆大山","1525"
"1535","贵州-梅花山","1525"
"1536","贵州-松桃盘石","1525"
"1537","贵州-幺站","1525"
"1538","海南-峨蔓","1522"
"1539","湖北-横冲","1518"
"1540","湖北-黄陂刘家山","1518"
"1541","湖北-叶家河","1518"
"1542","湖北-蕲春一期","1518"
"1543","湖南-金坪","1519"
"1544","湖南-荆茗","1519"
"1545","湖南-天鹅池","1519"
"1546","湖南-香木山","1519"
"1547","江苏-东凌二场","1511"
"1548","江苏-东凌一场","1511"
"1549","江苏-东元","1511"
"1550","江苏-大丰老新站","1511"
"1551","江苏-环港","1511"
"1552","江苏-李埝","1511"
"1553","江苏-凌洋","1511"
"1554","江苏-盱眙","1511"
"1555","江苏-盱眙-联合动力","1511"
"1556","江苏-海上大丰","1511"
"1557","江苏-海上环港","1511"
"1558","江苏-蒋家沙","1511"
"1559","江苏-射阳","1511"
"1560","上海-崇明北堡","1510"
"1561","云南-百山","1526"
"1562","云南-高美","1526"
"1563","云南-马塘","1526"
"1564","云南-雪邦山","1526"
"1565","云南-杨梅山","1526"
"1566","云南-支锅山","1526"
"1567","云南-株木山","1526"
"1568","浙江-岑港","1512"
"1569","浙江-东海塘","1512"
"1570","浙江-鹤顶山","1512"
"1571","浙江-皇帝平","1512"
"1572","浙江-金塘","1512"
"1573","浙江-磐安","1512"
"1574","河北-东湾","1504"
"1575","河北-吉风","1504"
"1576","河北-聚风","1504"
"1577","河北-普发","1504"
"1578","河北-麒麟山","1504"
"1579","河北-尚义陈所梁","1504"
"1580","河北-石人","1504"
"1581","河北-桐风","1504"
"1582","河北-迅风","1504"
"1583","河北-耀源","1504"
"1584","河南-郸城","1517"
"1585","河南-项城","1517"
"1586","河南-银城","1517"
"1587","河南-永城","1517"
"1588","河南-禹州","1517"
"1589","吉林-同发","1508"
"1590","吉林-兴隆山","1508"
"1591","吉林-兴隆山二期","1508"
"1592","吉林-永安","1508"
"1593","吉林-长岭双龙","1508"
"1594","吉林-甄峰","1508"
